ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,unittest,statements about dict,binary mode,Inheritance three levels,lt operator,person print,add,copy list,dict sort,high order lambda,inher init,lambda sum,lambda vector,list mutation,lambda module,max sub,recursive,eq overload,try block,Multiple Choice,tuple vs list,string operations,module contents,package contents,Primes,Sequence,Matrix,BankAccount,testing approaches,unittest,dict access,dict def,dict for keys,else part,except statements,exception object,finally block,handling keyword,IOError,multiple exception,standard exception,inf try except,close file,dump,open mode,pickle,default params,function call,local scope,debug,syntax,list append,list count,list def,module,module extension,package caller,package is a dir,same module name,import statement,digit counter,lower counter,upper counter,replace str,breakline,str convertion,str mulp,string funcs,str len,for loop,while break,while break (copy),list comp,list expansion,list number comp,list str comp,ABC module,abstract keyword,class method,inher init,object,object init,add overload,equal overload,less operator,inheritance,inheritance (copy),inheritance (copy) (copy),inhe init,inhe init (copy),inhe init (copy) (copy),loop str,loop str (copy),loop str (copy) (copy)
40149,Kíp 1,42.5,90,47.22,0,0.5,1,1,1,1,1,1,Chưa làm,0,Chưa làm,Chưa làm,1,0,Chưa làm,Chưa làm,1,1,1,0,1,0,1,0,10,0,Chưa làm,Chưa làm,1,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,Không có,0,1,Không có,Không có,1,1,Không có,Không có,Không có,1,1,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,0,Không có,0,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có
40150,Kíp 1,51.33,90,57.03,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,Chưa làm,1,0,10,3.3299999999999996,Chưa làm,Chưa làm,Không có,1,1,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,0,Không có,1,Không có,Không có,Không có,1,Không có,0,Không có,0,Không có,1,Không có,0,Không có,Không có,1,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,0,Không có,Không có,1,1,Không có,Không có
40151,Kíp 1,27,90,30,Chưa làm,1,0,Chưa làm,1,1,1,1,Chưa làm,1,Chưa làm,0,0,0,1,Chưa làm,1,1,1,Chưa làm,1,Chưa làm,1,0,0,0,Chưa làm,Chưa làm,Không có,Chưa làm,0,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Chưa làm,0,1,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,1,Không có,1,1,Không có,Không có,1,Không có,Chưa làm,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,0,Chưa làm,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Chưa làm,Không có,Không có,1,Không có,Không có
40152,Kíp 1,33.5,90,37.22,0,1,1,0,1,0,1,0,1,0,1,1,0,1,Chưa làm,Chưa làm,1,1,1,0,1,1,0.5,0,0,Chưa làm,Chưa làm,0,Không có,1,Không có,1,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1,0,1,1,Không có,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,Không có,Không có,0,Không có,1,1,1,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1
40153,Kíp 1,25.25,90,28.06,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.25,0,0,Chưa làm,Chưa làm,0,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,0,0,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,1,1,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,1,1,Không có,1,Không có,0,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,0
40154,Kíp 1,50,90,55.56,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,Chưa làm,10,0,Chưa làm,0,1,Không có,Không có,1,0,1,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,0,Không có,Không có,1,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có
40155,Kíp 1,34,90,37.78,1,0.5,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,2.5,0,Chưa làm,Chưa làm,Không có,0,Không có,1,0,1,Không có,Không có,Không có,Không có,Không có,0,Không có,0,0,Không có,Không có,1,Không có,Không có,0,Không có,1,1,Không có,Không có,1,1,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,0,Không có,Không có,1,Không có,Không có,Không có,0,Không có
40156,Kíp 1,78.5,90,87.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,10,10,10,0,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,1,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,1,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có
40157,Kíp 1,33.75,90,37.5,1,1,0,1,1,1,1,1,Chưa làm,1,0,0,1,0,Chưa làm,Chưa làm,1,1,1,0,1,1,0.5,0.25,0,0,Chưa làm,Chưa làm,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,0,Không có,Không có,1,0,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,0,Không có,1,Chưa làm,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,0,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,0
40158,Kíp 1,44.58,90,49.53,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0.25,10,3.3299999999999996,Chưa làm,Chưa làm,Không có,1,Không có,1,0,Không có,Không có,0,Không có,0,Không có,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,0,1,Không có,Không có,0,Không có,Không có,1,0,0,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,1,0,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có
40159,Kíp 1,70,90,77.78,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,10,10,Chưa làm,10,Không có,1,1,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,0,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,0,1,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,0,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có
40160,Kíp 1,73,90,81.11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,Chưa làm,Chưa làm,1,1,1,1,1,Chưa làm,1,Chưa làm,10,0,10,10,Không có,1,1,Không có,0,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,1,1,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,1,1,1,Không có,Không có,1,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1
40161,Kíp 1,44,90,48.89,0,0.5,1,1,1,0,1,1,1,1,1,1,1,1,Chưa làm,Chưa làm,1,1,1,0,0,Chưa làm,1,0,10,0,Chưa làm,Chưa làm,0.5,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,1,0,Không có,1,Không có,1,Không có,1,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,0,1,0,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,0,1,Không có,Không có,Không có,0,Không có,Không có,Không có,1
40162,Kíp 1,65,90,72.22,1,1,0,1,1,1,1,1,1,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,1,1,0,1,Chưa làm,0.5,Chưa làm,10,0,10,10,0.5,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,1,1,Không có,1,Không có,1,Không có,1,Không có,Không có,0,Không có,1,Không có,1,Không có,1,1,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1
40163,Kíp 1,43,90,47.78,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,Chưa làm,1,1,1,0,0,1,1,0,10,0,0,Chưa làm,Không có,0,0,1,Không có,Không có,Không có,0,Không có,Không có,0,Không có,Không có,0,1,Không có,0,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1
40164,Kíp 1,48.92,90,54.36,1,1,0,0,1,1,1,1,0,1,1,1,Chưa làm,1,1,Chưa làm,1,1,1,0,0,1,1,0.25,5,6.67,Chưa làm,0,Không có,1,1,Không có,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,1,1,Không có,1,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,0,Không có,Không có,Không có,0,Không có
40165,Kíp 1,63.58,90,70.64,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0.25,10,3.3299999999999996,10,Chưa làm,1,Không có,0,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,1,Không có,1,1,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,0,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,0,Không có,Không có,Không có,0,Không có
40166,Kíp 1,25.5,90,28.33,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0.5,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,0,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,1,1,Không có,Không có,0,1,Không có,Không có,0,Không có,Không có,Không có,1,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,0,Không có,0,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,0,0,Không có,Không có
40167,Kíp 1,26,90,28.89,0,1,0,1,0,1,1,1,0,1,Chưa làm,1,0,0,Chưa làm,Chưa làm,1,0,0,1,1,Chưa làm,0.5,0,2.5,Chưa làm,Chưa làm,Chưa làm,1,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,0,1,Không có,Không có,1,0,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,0,Không có,0,Không có,1,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,0,Không có,Không có,1,Không có,Không có,0,Không có,Không có,0,Không có,Không có,0,Không có,Không có,0,Không có,Không có,0,Không có
40168,Kíp 1,48,90,53.33,0,0.5,1,0,1,0,1,1,Chưa làm,Chưa làm,Chưa làm,1,1,1,Chưa làm,Chưa làm,1,1,1,0,1,0,1,0.5,2.5,0,0,10,0.5,Không có,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,1,1,1,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,Không có,Không có,Không có,1,1,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,1,0,Không có,Không có,Không có,Không có,1
40169,Kíp 1,24,90,26.67,0,0.5,1,1,0,1,1,0,Chưa làm,1,Chưa làm,1,Chưa làm,0,Chưa làm,Chưa làm,1,Chưa làm,1,1,0,0,1,0,2.5,Chưa làm,Chưa làm,Chưa làm,Không có,0,Không có,1,0,Không có,0,Không có,Không có,Không có,Không có,0,Không có,0,Không có,0,Không có,0,Không có,Không có,1,Không có,0,Không có,Không có,0,Không có,1,0,0,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,0,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,1
40170,Kíp 1,34.75,90,38.61,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0.25,2.5,0,Chưa làm,Chưa làm,0,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,1,Không có,Không có,0,1,Không có,Không có,0,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,1,Không có,1,Không có,Không có,0,Không có,0,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,0,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,0,0,Không có,Không có,1,Không có,Không có
40171,Kíp 1,33.33,90,37.03,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0.5,0,3.3299999999999996,Chưa làm,0,0.5,Không có,0,1,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,0,1,Không có,Không có,1,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,0,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,0,1,Không có,Không có,Không có,Không có,1,0,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,0
40172,Kíp 1,47.25,90,52.5,1,0.5,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0.5,0.25,10,0,0,Chưa làm,Không có,1,Không có,1,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,1,1,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,0,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,0,0,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1
40173,Kíp 1,41.33,90,45.92,0,1,0,0,1,1,1,1,Chưa làm,1,Chưa làm,0,1,1,1,Chưa làm,1,1,1,Chưa làm,1,Chưa làm,1,0,5,3.3299999999999996,Chưa làm,0,Không có,1,Không có,1,1,0,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,1,1,Không có,Không có,Không có,1,1,Không có,Không có,0,Không có,Không có,1,1,Không có,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,1,0,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,0,1,Không có,Không có
40174,Kíp 1,56.25,90,62.5,1,1,1,1,1,1,1,1,1,1,Chưa làm,0,1,1,1,Chưa làm,1,1,1,0,1,0,0,0.25,10,0,10,Chưa làm,1,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,1,1,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,1,0,Không có,1,Không có,Không có,1,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,0,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1
40175,Kíp 1,30.5,90,33.89,0,0.25,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0.25,5,Chưa làm,Chưa làm,Chưa làm,1,Không có,0,Không có,0,Không có,Không có,Không có,0,Không có,Không có,0,Không có,0,Không có,0,Không có,1,Không có,Không có,1,Không có,1,Không có,0,Không có,0,Không có,Không có,0,0,Không có,Không có,Không có,1,0,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,0,Không có,1,1,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,0
40176,Kíp 1,26,90,28.89,1,1,1,0,0,1,1,0,Chưa làm,0,0,1,1,1,Chưa làm,Chưa làm,1,1,0,1,0,Chưa làm,1,Chưa làm,0,0,Chưa làm,Chưa làm,Không có,1,0,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,0,0,Không có,0,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,0,Không có,0,0,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,Không có
40177,Kíp 1,48.08,90,53.42,1,0.25,1,0,1,1,1,1,1,1,0,1,1,0,Chưa làm,Chưa làm,1,1,1,Chưa làm,1,1,0.5,0,10,3.3299999999999996,Chưa làm,0,1,Không có,Không có,1,1,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1,1,0,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,0,1,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,1,Không có,0,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,1,Không có,0,Không có,Không có,1,Không có,Không có
40178,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40179,Kíp 1,42.25,90,46.94,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,Chưa làm,1,0.25,10,0,0,Chưa làm,Không có,0,1,1,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,1,Không có,0,0,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,0,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,0,Không có,Không có,0,Không có,0,Không có,Không có,0,Không có,Không có
40180,Kíp 1,38.5,90,42.78,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.5,0,0,Chưa làm,0,Không có,0,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,0,1,Không có,1,Không có,1,0,Không có,Không có,1,Không có,1,Không có,Không có,0,1,Không có,0,Không có,Không có,Không có,Không có,1,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,0,Không có,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1
40181,Kíp 1,30.25,90,33.61,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,Chưa làm,1,1,1,0,1,1,1,0.25,0,0,0,Chưa làm,Không có,0,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,0,0,0,Không có,0,Không có,1,Không có,0,Không có,Không có,1,Không có,Không có,1,0,Không có,0,Không có,1,Không có,Không có,Không có,1,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,0,Không có,1,Không có,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có
40182,Kíp 1,37,90,41.11,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0.5,2.5,0,Chưa làm,0,Không có,0,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,0,1,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,0,Không có,0,Không có,Không có,0,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,1
40183,Kíp 1,35.5,90,39.44,1,1,0,1,1,1,1,1,1,0,1,1,1,1,Chưa làm,0,1,1,1,0,1,Chưa làm,0.5,Chưa làm,0,0,Chưa làm,Chưa làm,1,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,0,1,Không có,Không có,1,1,Không có,Không có,0,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,1,Không có,0,Không có
40184,Kíp 1,24,90,26.67,0,0,0,1,1,1,1,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,1,Chưa làm,Chưa làm,1,1,1,0,1,Chưa làm,0.5,0.5,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,0,Không có,0,0,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,0,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,Không có,1,0,Không có,1,Không có,Không có,1,1,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,0,0,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,0,Không có,Không có,0
40185,Kíp 1,41,90,45.56,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,Chưa làm,1,1,1,0,1,Chưa làm,1,0,2.5,0,Chưa làm,Chưa làm,0.5,Không có,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,1,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,1,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,1,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có
40186,Kíp 1,55,90,61.11,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,10,10,Chưa làm,Chưa làm,Không có,1,1,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,0,Không có,0,Không có,0,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,1,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,1,Không có,0,Không có,Không có,Không có,Không có,1
40187,Kíp 1,37.25,90,41.39,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0.25,0,0,Chưa làm,Chưa làm,Không có,1,1,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,0,Không có,Không có,1,Không có,1,1,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,0,Không có
40188,Kíp 1,83,90,92.22,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,10,10,1,Không có,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,1,1,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,0,0,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có
40189,Kíp 1,20.25,90,22.5,1,1,1,0,0,1,1,0,Chưa làm,0,0,Chưa làm,1,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,1,1,0,Chưa làm,1,0.25,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,0,0,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,0,Không có,0,Không có,0,Không có,0,Không có,Không có,1,Không có,Không có,1,1,Không có,0,1,Không có,Không có,Không có,Không có,1,1,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,1,Không có,Chưa làm,Không có,Không có,Chưa làm,Không có,Không có,1,Không có,Không có,Không có,Không có,0,0,Không có,Không có,0,Không có,Không có
40190,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
